discipline,subtype,legacy_question_id,legacy_dimension,mapped_gate,action,replacement_id,notes
Emergency Management & Resilience,Mass Notification,BASE-141,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Management & Resilience,Mass Notification,BASE-142,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-142,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Management & Resilience,Mass Notification,BASE-143,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Management & Resilience,Redundancy / Backup Systems,BASE-144,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-144,Has BLOCKER violations: RULE-102
Emergency Management & Resilience,Redundancy / Backup Systems,BASE-145,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Management & Resilience,Redundancy / Backup Systems,BASE-146,MAINTENANCE_ASSURANCE,CONTROL_RESILIENCE,REWRITE,BASE-146,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Management & Resilience,Redundancy / Backup Systems,BASE-147,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Emergency Management & Resilience,Resilience Planning,BASE-148,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-148,Has BLOCKER violations: RULE-102
Emergency Management & Resilience,Resilience Planning,BASE-149,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Emergency Management & Resilience,Resilience Planning,BASE-150,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-150,"Has BLOCKER violations: RULE-102, RULE-103"
Emergency Management & Resilience,Resilience Planning,BASE-151,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Facility Hardening,Ballistic Barriers,BASE-152,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-152,Has BLOCKER violations: RULE-102
Facility Hardening,Ballistic Barriers,BASE-153,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Facility Hardening,Ballistic Barriers,BASE-154,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-154,"Has BLOCKER violations: RULE-102, RULE-103"
Facility Hardening,Ballistic Barriers,BASE-155,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Facility Hardening,Blast Mitigation,BASE-156,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-156,Has BLOCKER violations: RULE-102
Facility Hardening,Blast Mitigation,BASE-157,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Facility Hardening,Blast Mitigation,BASE-158,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-158,"Has BLOCKER violations: RULE-102, RULE-103"
Facility Hardening,Blast Mitigation,BASE-159,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Facility Hardening,Exterior Wall Reinforcement,BASE-160,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-160,Has BLOCKER violations: RULE-102
Facility Hardening,Exterior Wall Reinforcement,BASE-161,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Facility Hardening,Exterior Wall Reinforcement,BASE-162,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-162,"Has BLOCKER violations: RULE-102, RULE-103"
Facility Hardening,Exterior Wall Reinforcement,BASE-163,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Facility Hardening,Impact-Resistant Glazing,BASE-164,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-164,Has BLOCKER violations: RULE-102
Facility Hardening,Impact-Resistant Glazing,BASE-165,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Facility Hardening,Impact-Resistant Glazing,BASE-166,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-166,"Has BLOCKER violations: RULE-102, RULE-103"
Facility Hardening,Impact-Resistant Glazing,BASE-167,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Facility Hardening,Structural Hardening,BASE-168,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-168,Has BLOCKER violations: RULE-102
Facility Hardening,Structural Hardening,BASE-169,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Facility Hardening,Structural Hardening,BASE-170,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-170,"Has BLOCKER violations: RULE-102, RULE-103"
Facility Hardening,Structural Hardening,BASE-171,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Facility Hardening,Window Film,BASE-172,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-172,Has BLOCKER violations: RULE-102
Facility Hardening,Window Film,BASE-173,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Facility Hardening,Window Film,BASE-174,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-174,"Has BLOCKER violations: RULE-102, RULE-103"
Facility Hardening,Window Film,BASE-175,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Information Sharing & Coordination,Coordination Protocols,BASE-176,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-176,Has BLOCKER violations: RULE-102
Information Sharing & Coordination,Coordination Protocols,BASE-177,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Information Sharing & Coordination,Coordination Protocols,BASE-178,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-178,"Has BLOCKER violations: RULE-102, RULE-103"
Information Sharing & Coordination,Coordination Protocols,BASE-179,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Information Sharing & Coordination,External Reporting,BASE-180,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-180,Has BLOCKER violations: RULE-102
Information Sharing & Coordination,External Reporting,BASE-181,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Information Sharing & Coordination,External Reporting,BASE-182,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-182,"Has BLOCKER violations: RULE-102, RULE-103"
Information Sharing & Coordination,External Reporting,BASE-183,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Information Sharing & Coordination,Fusion Center Interface,BASE-184,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-184,Has BLOCKER violations: RULE-102
Information Sharing & Coordination,Fusion Center Interface,BASE-185,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Information Sharing & Coordination,Fusion Center Interface,BASE-186,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-186,"Has BLOCKER violations: RULE-102, RULE-103"
Information Sharing & Coordination,Fusion Center Interface,BASE-187,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Information Sharing & Coordination,ISAC / ISAOs,BASE-188,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-188,Has BLOCKER violations: RULE-102
Information Sharing & Coordination,ISAC / ISAOs,BASE-189,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Information Sharing & Coordination,ISAC / ISAOs,BASE-190,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-190,"Has BLOCKER violations: RULE-102, RULE-103"
Information Sharing & Coordination,ISAC / ISAOs,BASE-191,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Information Sharing & Coordination,JTTF Engagement,BASE-192,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-192,Has BLOCKER violations: RULE-102
Information Sharing & Coordination,JTTF Engagement,BASE-193,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Information Sharing & Coordination,JTTF Engagement,BASE-194,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-194,"Has BLOCKER violations: RULE-102, RULE-103"
Information Sharing & Coordination,JTTF Engagement,BASE-195,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Information Sharing & Coordination,Law Enforcement Liaison,BASE-196,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-196,Has BLOCKER violations: RULE-102
Information Sharing & Coordination,Law Enforcement Liaison,BASE-197,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Information Sharing & Coordination,Law Enforcement Liaison,BASE-198,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-198,"Has BLOCKER violations: RULE-102, RULE-103"
Information Sharing & Coordination,Law Enforcement Liaison,BASE-199,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Information Sharing & Coordination,Threat Information Sharing,BASE-200,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-200,Has BLOCKER violations: RULE-102
Information Sharing & Coordination,Threat Information Sharing,BASE-201,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Information Sharing & Coordination,Threat Information Sharing,BASE-202,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-202,"Has BLOCKER violations: RULE-102, RULE-103"
Information Sharing & Coordination,Threat Information Sharing,BASE-203,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Interior Security & Barriers,Access-Restricted Areas,BASE-204,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-204,Has BLOCKER violations: RULE-102
Interior Security & Barriers,Access-Restricted Areas,BASE-205,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Interior Security & Barriers,Access-Restricted Areas,BASE-206,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-206,"Has BLOCKER violations: RULE-102, RULE-103"
Interior Security & Barriers,Access-Restricted Areas,BASE-207,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Interior Security & Barriers,Hard-Interior Barriers,BASE-208,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-208,Has BLOCKER violations: RULE-102
Interior Security & Barriers,Hard-Interior Barriers,BASE-209,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Interior Security & Barriers,Hard-Interior Barriers,BASE-210,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-210,"Has BLOCKER violations: RULE-102, RULE-103"
Interior Security & Barriers,Hard-Interior Barriers,BASE-211,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Interior Security & Barriers,Interior Doors,BASE-212,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-212,Has BLOCKER violations: RULE-102
Interior Security & Barriers,Interior Doors,BASE-213,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Interior Security & Barriers,Interior Doors,BASE-214,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-214,"Has BLOCKER violations: RULE-102, RULE-103"
Interior Security & Barriers,Interior Doors,BASE-215,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Interior Security & Barriers,Interior Lighting,BASE-216,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-216,Has BLOCKER violations: RULE-102
Interior Security & Barriers,Interior Lighting,BASE-217,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Interior Security & Barriers,Interior Lighting,BASE-218,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-218,"Has BLOCKER violations: RULE-102, RULE-103"
Interior Security & Barriers,Interior Lighting,BASE-219,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Interior Security & Barriers,Safe Rooms,BASE-220,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-220,Has BLOCKER violations: RULE-102
Interior Security & Barriers,Safe Rooms,BASE-221,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Interior Security & Barriers,Safe Rooms,BASE-222,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-222,"Has BLOCKER violations: RULE-102, RULE-103"
Interior Security & Barriers,Safe Rooms,BASE-223,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Interior Security & Barriers,Secure Rooms,BASE-224,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-224,Has BLOCKER violations: RULE-102
Interior Security & Barriers,Secure Rooms,BASE-225,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Interior Security & Barriers,Secure Rooms,BASE-226,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-226,"Has BLOCKER violations: RULE-102, RULE-103"
Interior Security & Barriers,Secure Rooms,BASE-227,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Interior Security & Barriers,Sensitive Item Storage,BASE-228,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-228,Has BLOCKER violations: RULE-102
Interior Security & Barriers,Sensitive Item Storage,BASE-229,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Interior Security & Barriers,Sensitive Item Storage,BASE-230,MAINTENANCE_ASSURANCE,CONTROL_RESILIENCE,REWRITE,BASE-230,"Has BLOCKER violations: RULE-102, RULE-103"
Interior Security & Barriers,Sensitive Item Storage,BASE-231,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Intrusion Detection Systems,Alarm Monitoring,BASE-232,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-232,Has BLOCKER violations: RULE-102
Intrusion Detection Systems,Alarm Monitoring,BASE-233,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Intrusion Detection Systems,Alarm Monitoring,BASE-234,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-234,"Has BLOCKER violations: RULE-102, RULE-103"
Intrusion Detection Systems,Alarm Monitoring,BASE-235,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Intrusion Detection Systems,Alarm Panels,BASE-236,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-236,Has BLOCKER violations: RULE-102
Intrusion Detection Systems,Alarm Panels,BASE-237,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Intrusion Detection Systems,Alarm Panels,BASE-238,MAINTENANCE_ASSURANCE,CONTROL_RESILIENCE,REWRITE,BASE-238,"Has BLOCKER violations: RULE-102, RULE-103"
Intrusion Detection Systems,Alarm Panels,BASE-239,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Intrusion Detection Systems,Door Contacts,BASE-240,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-240,Has BLOCKER violations: RULE-102
Intrusion Detection Systems,Door Contacts,BASE-241,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Intrusion Detection Systems,Door Contacts,BASE-242,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-242,"Has BLOCKER violations: RULE-102, RULE-103"
Intrusion Detection Systems,Door Contacts,BASE-243,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Intrusion Detection Systems,Glass Break Sensors,BASE-244,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-244,Has BLOCKER violations: RULE-102
Intrusion Detection Systems,Glass Break Sensors,BASE-245,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Intrusion Detection Systems,Glass Break Sensors,BASE-246,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-246,"Has BLOCKER violations: RULE-102, RULE-103"
Intrusion Detection Systems,Glass Break Sensors,BASE-247,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Intrusion Detection Systems,Motion Detectors,BASE-248,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-248,Has BLOCKER violations: RULE-102
Intrusion Detection Systems,Motion Detectors,BASE-249,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Intrusion Detection Systems,Motion Detectors,BASE-250,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-250,"Has BLOCKER violations: RULE-102, RULE-103"
Intrusion Detection Systems,Motion Detectors,BASE-251,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Intrusion Detection Systems,Panic / Duress Buttons,BASE-252,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-252,Has BLOCKER violations: RULE-102
Intrusion Detection Systems,Panic / Duress Buttons,BASE-253,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Intrusion Detection Systems,Panic / Duress Buttons,BASE-254,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-254,"Has BLOCKER violations: RULE-102, RULE-103"
Intrusion Detection Systems,Panic / Duress Buttons,BASE-255,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Intrusion Detection Systems,Perimeter IDS,BASE-256,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-256,Has BLOCKER violations: RULE-102
Intrusion Detection Systems,Perimeter IDS,BASE-257,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Intrusion Detection Systems,Perimeter IDS,BASE-258,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-258,"Has BLOCKER violations: RULE-102, RULE-103"
Intrusion Detection Systems,Perimeter IDS,BASE-259,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Key Control,Key Cabinets,BASE-260,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-260,Has BLOCKER violations: RULE-102
Key Control,Key Cabinets,BASE-261,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Key Control,Key Cabinets,BASE-262,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-262,"Has BLOCKER violations: RULE-102, RULE-103"
Key Control,Key Cabinets,BASE-263,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Key Control,Key Logs / Accountability,BASE-264,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-264,Has BLOCKER violations: RULE-102
Key Control,Key Logs / Accountability,BASE-265,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Key Control,Key Logs / Accountability,BASE-266,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-266,"Has BLOCKER violations: RULE-102, RULE-103"
Key Control,Key Logs / Accountability,BASE-267,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Key Control,Master Key Management,BASE-268,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-268,Has BLOCKER violations: RULE-102
Key Control,Master Key Management,BASE-269,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Key Control,Master Key Management,BASE-270,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-270,"Has BLOCKER violations: RULE-102, RULE-103"
Key Control,Master Key Management,BASE-271,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Key Control,Rekeying Procedures,BASE-272,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-272,Has BLOCKER violations: RULE-102
Key Control,Rekeying Procedures,BASE-273,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Key Control,Rekeying Procedures,BASE-274,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-274,"Has BLOCKER violations: RULE-102, RULE-103"
Key Control,Rekeying Procedures,BASE-275,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Key Control,Restricted Keys,BASE-276,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-276,Has BLOCKER violations: RULE-102
Key Control,Restricted Keys,BASE-277,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Key Control,Restricted Keys,BASE-278,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-278,"Has BLOCKER violations: RULE-102, RULE-103"
