discipline,subtype,legacy_question_id,legacy_dimension,mapped_gate,action,replacement_id,notes
Key Control,Restricted Keys,BASE-279,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Perimeter Security,Bollards / Barriers,BASE-280,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-280,Has BLOCKER violations: RULE-102
Perimeter Security,Bollards / Barriers,BASE-281,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Perimeter Security,Bollards / Barriers,BASE-282,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-282,"Has BLOCKER violations: RULE-102, RULE-103"
Perimeter Security,Bollards / Barriers,BASE-283,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Perimeter Security,Boundary Demarcation,BASE-284,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-284,Has BLOCKER violations: RULE-102
Perimeter Security,Boundary Demarcation,BASE-285,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Perimeter Security,Boundary Demarcation,BASE-286,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-286,"Has BLOCKER violations: RULE-102, RULE-103"
Perimeter Security,Boundary Demarcation,BASE-287,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Perimeter Security,Clear Zones,BASE-288,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-288,Has BLOCKER violations: RULE-102
Perimeter Security,Clear Zones,BASE-289,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Perimeter Security,Clear Zones,BASE-290,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-290,"Has BLOCKER violations: RULE-102, RULE-103"
Perimeter Security,Clear Zones,BASE-291,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Perimeter Security,Fencing,BASE-292,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-292,Has BLOCKER violations: RULE-102
Perimeter Security,Fencing,BASE-293,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Perimeter Security,Fencing,BASE-294,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-294,"Has BLOCKER violations: RULE-102, RULE-103"
Perimeter Security,Fencing,BASE-295,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Perimeter Security,Gates,BASE-296,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-296,Has BLOCKER violations: RULE-102
Perimeter Security,Gates,BASE-297,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Perimeter Security,Gates,BASE-298,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-298,"Has BLOCKER violations: RULE-102, RULE-103"
Perimeter Security,Gates,BASE-299,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Perimeter Security,Perimeter Lighting,BASE-300,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-300,Has BLOCKER violations: RULE-102
Perimeter Security,Perimeter Lighting,BASE-301,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Perimeter Security,Perimeter Lighting,BASE-302,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-302,"Has BLOCKER violations: RULE-102, RULE-103"
Perimeter Security,Perimeter Lighting,BASE-303,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Perimeter Security,Perimeter Signage,BASE-304,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-304,Has BLOCKER violations: RULE-102
Perimeter Security,Perimeter Signage,BASE-305,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Perimeter Security,Perimeter Signage,BASE-306,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-306,"Has BLOCKER violations: RULE-102, RULE-103"
Perimeter Security,Perimeter Signage,BASE-307,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Perimeter Security,Vehicle Access Control Points,BASE-308,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-308,Has BLOCKER violations: RULE-102
Perimeter Security,Vehicle Access Control Points,BASE-309,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Perimeter Security,Vehicle Access Control Points,BASE-310,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-310,"Has BLOCKER violations: RULE-102, RULE-103"
Perimeter Security,Vehicle Access Control Points,BASE-311,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Force / Operations,Guard Posts,BASE-312,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-312,Has BLOCKER violations: RULE-102
Security Force / Operations,Guard Posts,BASE-313,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Force / Operations,Guard Posts,BASE-314,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-314,"Has BLOCKER violations: RULE-102, RULE-103"
Security Force / Operations,Guard Posts,BASE-315,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Force / Operations,Incident Reporting,BASE-316,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-316,Has BLOCKER violations: RULE-102
Security Force / Operations,Incident Reporting,BASE-317,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Force / Operations,Incident Reporting,BASE-318,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-318,"Has BLOCKER violations: RULE-102, RULE-103"
Security Force / Operations,Incident Reporting,BASE-319,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Force / Operations,Patrol Routes,BASE-320,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-320,Has BLOCKER violations: RULE-102
Security Force / Operations,Patrol Routes,BASE-321,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Force / Operations,Patrol Routes,BASE-322,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-322,"Has BLOCKER violations: RULE-102, RULE-103"
Security Force / Operations,Patrol Routes,BASE-323,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Force / Operations,Radio Communications,BASE-324,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-324,Has BLOCKER violations: RULE-102
Security Force / Operations,Radio Communications,BASE-325,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Force / Operations,Radio Communications,BASE-326,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-326,"Has BLOCKER violations: RULE-102, RULE-103"
Security Force / Operations,Radio Communications,BASE-327,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Force / Operations,Response Procedures,BASE-328,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-328,Has BLOCKER violations: RULE-102
Security Force / Operations,Response Procedures,BASE-329,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Force / Operations,Response Procedures,BASE-330,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-330,"Has BLOCKER violations: RULE-102, RULE-103"
Security Force / Operations,Response Procedures,BASE-331,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Force / Operations,School Resource Officer (SRO),BASE-332,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-332,Has BLOCKER violations: RULE-102
Security Force / Operations,School Resource Officer (SRO),BASE-333,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Force / Operations,School Resource Officer (SRO),BASE-334,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-334,"Has BLOCKER violations: RULE-102, RULE-103"
Security Force / Operations,School Resource Officer (SRO),BASE-335,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Force / Operations,Security Officer Training,BASE-336,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-336,Has BLOCKER violations: RULE-102
Security Force / Operations,Security Officer Training,BASE-337,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Force / Operations,Security Officer Training,BASE-338,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-338,"Has BLOCKER violations: RULE-102, RULE-103"
Security Force / Operations,Security Officer Training,BASE-339,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Force / Operations,Security Operations Center (SOC),BASE-340,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-340,Has BLOCKER violations: RULE-102
Security Force / Operations,Security Operations Center (SOC),BASE-341,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Force / Operations,Security Operations Center (SOC),BASE-342,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-342,"Has BLOCKER violations: RULE-102, RULE-103"
Security Force / Operations,Security Operations Center (SOC),BASE-343,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Management & Governance,Governance & Oversight,BASE-344,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-344,Has BLOCKER violations: RULE-102
Security Management & Governance,Governance & Oversight,BASE-345,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Management & Governance,Governance & Oversight,BASE-346,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-346,"Has BLOCKER violations: RULE-102, RULE-103"
Security Management & Governance,Governance & Oversight,BASE-347,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Management & Governance,Policy Compliance Tracking,BASE-348,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-348,Has BLOCKER violations: RULE-102
Security Management & Governance,Policy Compliance Tracking,BASE-349,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Management & Governance,Policy Compliance Tracking,BASE-350,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-350,"Has BLOCKER violations: RULE-102, RULE-103"
Security Management & Governance,Policy Compliance Tracking,BASE-351,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Management & Governance,Risk Assessment / Risk Management,BASE-352,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-352,Has BLOCKER violations: RULE-102
Security Management & Governance,Risk Assessment / Risk Management,BASE-353,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Management & Governance,Risk Assessment / Risk Management,BASE-354,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-354,"Has BLOCKER violations: RULE-102, RULE-103"
Security Management & Governance,Risk Assessment / Risk Management,BASE-355,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Management & Governance,Security Documentation,BASE-356,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-356,Has BLOCKER violations: RULE-102
Security Management & Governance,Security Documentation,BASE-357,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Management & Governance,Security Documentation,BASE-358,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-358,"Has BLOCKER violations: RULE-102, RULE-103"
Security Management & Governance,Security Documentation,BASE-359,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Management & Governance,Security Policies,BASE-360,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-360,Has BLOCKER violations: RULE-102
Security Management & Governance,Security Policies,BASE-361,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Management & Governance,Security Policies,BASE-362,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-362,"Has BLOCKER violations: RULE-102, RULE-103"
Security Management & Governance,Security Policies,BASE-363,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Management & Governance,Security Procedures,BASE-364,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-364,Has BLOCKER violations: RULE-102
Security Management & Governance,Security Procedures,BASE-365,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Management & Governance,Security Procedures,BASE-366,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-366,"Has BLOCKER violations: RULE-102, RULE-103"
Security Management & Governance,Security Procedures,BASE-367,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Security Management & Governance,Security Training Programs,BASE-368,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-368,Has BLOCKER violations: RULE-102
Security Management & Governance,Security Training Programs,BASE-369,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Security Management & Governance,Security Training Programs,BASE-370,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-370,"Has BLOCKER violations: RULE-102, RULE-103"
Security Management & Governance,Security Training Programs,BASE-371,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Video Surveillance Systems,Analytics / Behavior Detection,BASE-372,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-372,Has BLOCKER violations: RULE-102
Video Surveillance Systems,Analytics / Behavior Detection,BASE-373,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Video Surveillance Systems,Analytics / Behavior Detection,BASE-374,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-374,"Has BLOCKER violations: RULE-102, RULE-103"
Video Surveillance Systems,Analytics / Behavior Detection,BASE-375,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Video Surveillance Systems,Camera Coverage / Line of Sight,BASE-376,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-376,Has BLOCKER violations: RULE-102
Video Surveillance Systems,Camera Coverage / Line of Sight,BASE-377,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Video Surveillance Systems,Camera Coverage / Line of Sight,BASE-378,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-378,"Has BLOCKER violations: RULE-102, RULE-103"
Video Surveillance Systems,Camera Coverage / Line of Sight,BASE-379,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Video Surveillance Systems,Exterior Cameras,BASE-380,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-380,Has BLOCKER violations: RULE-102
Video Surveillance Systems,Exterior Cameras,BASE-381,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Video Surveillance Systems,Exterior Cameras,BASE-382,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-382,"Has BLOCKER violations: RULE-102, RULE-103"
Video Surveillance Systems,Exterior Cameras,BASE-383,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Video Surveillance Systems,Fixed Cameras,BASE-384,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-384,Has BLOCKER violations: RULE-102
Video Surveillance Systems,Fixed Cameras,BASE-385,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Video Surveillance Systems,Fixed Cameras,BASE-386,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-386,"Has BLOCKER violations: RULE-102, RULE-103"
Video Surveillance Systems,Fixed Cameras,BASE-387,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Video Surveillance Systems,IP Cameras,BASE-388,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-388,Has BLOCKER violations: RULE-102
Video Surveillance Systems,IP Cameras,BASE-389,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Video Surveillance Systems,IP Cameras,BASE-390,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-390,"Has BLOCKER violations: RULE-102, RULE-103"
Video Surveillance Systems,IP Cameras,BASE-391,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Video Surveillance Systems,Interior Cameras,BASE-392,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-392,Has BLOCKER violations: RULE-102
Video Surveillance Systems,Interior Cameras,BASE-393,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Video Surveillance Systems,Interior Cameras,BASE-394,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-394,"Has BLOCKER violations: RULE-102, RULE-103"
Video Surveillance Systems,Interior Cameras,BASE-395,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Video Surveillance Systems,Monitoring / Workstations,BASE-396,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-396,Has BLOCKER violations: RULE-102
Video Surveillance Systems,Monitoring / Workstations,BASE-397,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Video Surveillance Systems,Monitoring / Workstations,BASE-398,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-398,"Has BLOCKER violations: RULE-102, RULE-103"
Video Surveillance Systems,Monitoring / Workstations,BASE-399,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Video Surveillance Systems,PTZ Cameras,BASE-400,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-400,Has BLOCKER violations: RULE-102
Video Surveillance Systems,PTZ Cameras,BASE-401,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Video Surveillance Systems,PTZ Cameras,BASE-402,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-402,"Has BLOCKER violations: RULE-102, RULE-103"
Video Surveillance Systems,PTZ Cameras,BASE-403,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Video Surveillance Systems,Recording / Storage (NVR/DVR),BASE-404,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-404,Has BLOCKER violations: RULE-102
Video Surveillance Systems,Recording / Storage (NVR/DVR),BASE-405,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Video Surveillance Systems,Recording / Storage (NVR/DVR),BASE-406,MAINTENANCE_ASSURANCE,CONTROL_RESILIENCE,REWRITE,BASE-406,"Has BLOCKER violations: RULE-102, RULE-103"
Video Surveillance Systems,Recording / Storage (NVR/DVR),BASE-407,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Video Surveillance Systems,System Architecture,BASE-408,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-408,Has BLOCKER violations: RULE-102
Video Surveillance Systems,System Architecture,BASE-409,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Video Surveillance Systems,System Architecture,BASE-410,MAINTENANCE_ASSURANCE,CONTROL_RESILIENCE,REWRITE,BASE-410,"Has BLOCKER violations: RULE-102, RULE-103"
Video Surveillance Systems,System Architecture,BASE-411,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
Video Surveillance Systems,Video Wall / Display Systems,BASE-412,SYSTEMS,CONTROL_EXISTS,REWRITE,BASE-412,Has BLOCKER violations: RULE-102
Video Surveillance Systems,Video Wall / Display Systems,BASE-413,PLANS_PROCEDURES,,RETIRE,,Dimension PLANS_PROCEDURES is forbidden (non-observable)
Video Surveillance Systems,Video Wall / Display Systems,BASE-414,MAINTENANCE_ASSURANCE,CONTROL_OPERABLE,REWRITE,BASE-414,"Has BLOCKER violations: RULE-102, RULE-103"
Video Surveillance Systems,Video Wall / Display Systems,BASE-415,PERSONNEL_RESPONSIBILITY,,RETIRE,,Dimension PERSONNEL_RESPONSIBILITY is forbidden (non-observable)
